127.0.0.1, 2015-10-06 18:03:28, GET, /myapp/default/index, HTTP/1.1, 200, 0.006274
127.0.0.1, 2015-10-06 18:03:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000195
127.0.0.1, 2015-10-06 18:04:08, GET, /myapp/default/index, HTTP/1.1, 200, 0.010472
127.0.0.1, 2015-10-06 18:04:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000180
127.0.0.1, 2015-10-06 18:04:42, GET, /myapp/default/index, HTTP/1.1, 200, 0.011407
127.0.0.1, 2015-10-06 18:04:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000359
127.0.0.1, 2015-10-06 18:04:51, GET, /myapp/default/index, HTTP/1.1, 200, 0.006541
127.0.0.1, 2015-10-06 18:04:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000211
127.0.0.1, 2015-10-06 18:04:52, GET, /myapp/default/index, HTTP/1.1, 200, 0.006711
127.0.0.1, 2015-10-06 18:04:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000209
127.0.0.1, 2015-10-06 18:04:52, GET, /myapp/default/index, HTTP/1.1, 200, 0.008732
127.0.0.1, 2015-10-06 18:04:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000315
127.0.0.1, 2015-10-06 18:04:52, GET, /myapp/default/index, HTTP/1.1, 200, 0.006080
127.0.0.1, 2015-10-06 18:04:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000188
127.0.0.1, 2015-10-06 18:04:52, GET, /myapp/default/index, HTTP/1.1, 200, 0.006393
127.0.0.1, 2015-10-06 18:04:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000255
127.0.0.1, 2015-10-06 18:04:52, GET, /myapp/default/index, HTTP/1.1, 200, 0.006694
127.0.0.1, 2015-10-06 18:04:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000228
127.0.0.1, 2015-10-06 18:04:53, GET, /myapp/default/index, HTTP/1.1, 200, 0.007189
127.0.0.1, 2015-10-06 18:04:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000245
127.0.0.1, 2015-10-06 18:04:53, GET, /myapp/default/index, HTTP/1.1, 200, 0.006344
